region,input_comm,tech,vintage,output_comm,efficiency,units,notes,data_source,dq_cred,dq_geog,dq_struc,dq_tech,dq_time,data_id
AB,T_dsl,T_BLND_DSL_ELC_HDV,2025,T_dsl_elc_hdv,1.0,PJ/PJ,blend/fuel; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV35,2040,T_gsl_elc_phev35,1.0,PJ/PJ,blend/electricity; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV35,2040,T_gsl_elc_phev35,1.0,PJ/PJ,blend/fuel; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV35,2045,T_gsl_elc_phev35,1.0,PJ/PJ,blend/electricity; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV35,2045,T_gsl_elc_phev35,1.0,PJ/PJ,blend/fuel; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV50,2025,T_gsl_elc_phev50,1.0,PJ/PJ,blend/electricity; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV50,2025,T_gsl_elc_phev50,1.0,PJ/PJ,blend/fuel; Mid; source years 2030..2030,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV50,2030,T_gsl_elc_phev50,1.0,PJ/PJ,blend/electricity; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV50,2030,T_gsl_elc_phev50,1.0,PJ/PJ,blend/fuel; Mid; source years 2035..2035,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV50,2035,T_gsl_elc_phev50,1.0,PJ/PJ,blend/electricity; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV50,2035,T_gsl_elc_phev50,1.0,PJ/PJ,blend/fuel; Mid; source years 2040..2040,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV50,2040,T_gsl_elc_phev50,1.0,PJ/PJ,blend/electricity; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV50,2040,T_gsl_elc_phev50,1.0,PJ/PJ,blend/fuel; Mid; source years 2045..2045,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_elc_ldv_chrg,T_BLND_GSL_ELC_PHEV50,2045,T_gsl_elc_phev50,1.0,PJ/PJ,blend/electricity; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_gsl,T_BLND_GSL_ELC_PHEV50,2045,T_gsl_elc_phev50,1.0,PJ/PJ,blend/fuel; Mid; source years 2050..2050,,,,,,,transport-efficiency-structure:52a5cd9d759321fa
AB,T_jtf,T_HDV_AJF_JFL_EX,2000,T_D_tkm_hdv_aj,0.2873602028533144,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2000..2000,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_EX,2005,T_D_tkm_hdv_aj,0.28904963294977365,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2001..2005,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_EX,2010,T_D_tkm_hdv_aj,0.3547274266302881,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2006..2010,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_EX,2015,T_D_tkm_hdv_aj,0.38538035325517106,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2011..2015,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_EX,2020,T_D_tkm_hdv_aj,0.39221153249422036,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2016..2020,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_EX,2023,T_D_tkm_hdv_aj,0.3474181335755892,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2021..2023,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_N,2025,T_D_tkm_hdv_aj,0.48304089565156333,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2030..2030,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_N,2030,T_D_tkm_hdv_aj,0.5076808359390985,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2035..2035,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_N,2035,T_D_tkm_hdv_aj,0.5335776608151618,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2040..2040,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_N,2040,T_D_tkm_hdv_aj,0.560795484025584,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2045..2045,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJF_JFL_N,2045,T_D_tkm_hdv_aj,0.5894016897615829,bn tonne-km/PJ,freight_air/jet_fuel; Mid; source years 2050..2050,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_spk,T_HDV_AJF_SPK_N,2025,T_D_tkm_hdv_aj,0.48304089565156333,bn tonne-km/PJ,freight_air/spk; Mid; source years 2030..2030,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_spk,T_HDV_AJF_SPK_N,2030,T_D_tkm_hdv_aj,0.5076808359390985,bn tonne-km/PJ,freight_air/spk; Mid; source years 2035..2035,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_spk,T_HDV_AJF_SPK_N,2035,T_D_tkm_hdv_aj,0.5335776608151618,bn tonne-km/PJ,freight_air/spk; Mid; source years 2040..2040,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_spk,T_HDV_AJF_SPK_N,2040,T_D_tkm_hdv_aj,0.560795484025584,bn tonne-km/PJ,freight_air/spk; Mid; source years 2045..2045,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_spk,T_HDV_AJF_SPK_N,2045,T_D_tkm_hdv_aj,0.5894016897615829,bn tonne-km/PJ,freight_air/spk; Mid; source years 2050..2050,T02,5.0,5.0,5.0,5.0,5.0,efficiency-freight-air:composite:1:80d8d4fb89fb7685
AB,T_jtf,T_HDV_AJP_JFL_EX,2000,T_D_pkm_hdv_aj,0.5115427053754442,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2000..2000,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_EX,2005,T_D_pkm_hdv_aj,0.5110672742802874,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2001..2005,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_EX,2010,T_D_pkm_hdv_aj,0.6240517751488962,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2006..2010,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_EX,2015,T_D_pkm_hdv_aj,0.6794060633593056,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2011..2015,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_EX,2020,T_D_pkm_hdv_aj,0.6931961635396615,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2016..2020,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_EX,2023,T_D_pkm_hdv_aj,0.6144693135946814,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2021..2023,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_N,2025,T_D_pkm_hdv_aj,0.8456193080576163,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2030..2030,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_N,2030,T_D_pkm_hdv_aj,0.8887543913271627,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2035..2035,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_N,2035,T_D_pkm_hdv_aj,0.9340897973553562,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2040..2040,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_N,2040,T_D_pkm_hdv_aj,0.9817377647163519,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2045..2045,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_jtf,T_HDV_AJP_JFL_N,2045,T_D_pkm_hdv_aj,1.0318162572795953,bn passenger-km/PJ,passenger_air/jet_fuel; Mid; source years 2050..2050,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_spk,T_HDV_AJP_SPK_N,2025,T_D_pkm_hdv_aj,0.8456193080576163,bn passenger-km/PJ,passenger_air/spk; Mid; source years 2030..2030,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_spk,T_HDV_AJP_SPK_N,2030,T_D_pkm_hdv_aj,0.8887543913271627,bn passenger-km/PJ,passenger_air/spk; Mid; source years 2035..2035,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_spk,T_HDV_AJP_SPK_N,2035,T_D_pkm_hdv_aj,0.9340897973553562,bn passenger-km/PJ,passenger_air/spk; Mid; source years 2040..2040,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_spk,T_HDV_AJP_SPK_N,2040,T_D_pkm_hdv_aj,0.9817377647163519,bn passenger-km/PJ,passenger_air/spk; Mid; source years 2045..2045,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_spk,T_HDV_AJP_SPK_N,2045,T_D_pkm_hdv_aj,1.0318162572795953,bn passenger-km/PJ,passenger_air/spk; Mid; source years 2050..2050,T02,5.0,5.0,5.0,5.0,5.0,efficiency-passenger-air:composite:1:f39d3865ae301ca1
AB,T_elc_mhdv_chrg,T_HDV_BIC_BEV_N,2025,T_D_pkm_hdv_bic,3.813589123641412,bn passenger-km/PJ,inter_city_buses/bev; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_elc_mhdv_chrg,T_HDV_BIC_BEV_N,2030,T_D_pkm_hdv_bic,4.03277114819984,bn passenger-km/PJ,inter_city_buses/bev; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_elc_mhdv_chrg,T_HDV_BIC_BEV_N,2035,T_D_pkm_hdv_bic,4.194985409433035,bn passenger-km/PJ,inter_city_buses/bev; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_elc_mhdv_chrg,T_HDV_BIC_BEV_N,2040,T_D_pkm_hdv_bic,4.359293564846657,bn passenger-km/PJ,inter_city_buses/bev; Mid; source years 2045..2045,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_elc_mhdv_chrg,T_HDV_BIC_BEV_N,2045,T_D_pkm_hdv_bic,4.519645778062851,bn passenger-km/PJ,inter_city_buses/bev; Mid; source years 2050..2050,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_EX,2015,T_D_pkm_hdv_bic,1.1674606269343362,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2011..2015,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_EX,2020,T_D_pkm_hdv_bic,1.6917444635836822,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2016..2020,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_EX,2023,T_D_pkm_hdv_bic,1.462452097533526,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2021..2023,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_HEV_N,2025,T_D_pkm_hdv_bic,1.6367253075903272,bn passenger-km/PJ,inter_city_buses/hev; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_HEV_N,2030,T_D_pkm_hdv_bic,1.765087501089797,bn passenger-km/PJ,inter_city_buses/hev; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_HEV_N,2035,T_D_pkm_hdv_bic,1.872348186753446,bn passenger-km/PJ,inter_city_buses/hev; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_HEV_N,2040,T_D_pkm_hdv_bic,1.9794186628343455,bn passenger-km/PJ,inter_city_buses/hev; Mid; source years 2045..2045,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_HEV_N,2045,T_D_pkm_hdv_bic,2.0863266669281884,bn passenger-km/PJ,inter_city_buses/hev; Mid; source years 2050..2050,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_N,2025,T_D_pkm_hdv_bic,1.6045804983622711,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_N,2030,T_D_pkm_hdv_bic,1.6975841190887921,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_N,2035,T_D_pkm_hdv_bic,1.7715129467860524,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_N,2040,T_D_pkm_hdv_bic,1.845231599916899,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2045..2045,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_dsl,T_HDV_BIC_DSL_N,2045,T_D_pkm_hdv_bic,1.9187666696038719,bn passenger-km/PJ,inter_city_buses/diesel; Mid; source years 2050..2050,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_h2_mhdv,T_HDV_BIC_FCEV_N,2025,T_D_pkm_hdv_bic,2.447527348008667,bn passenger-km/PJ,inter_city_buses/fcev; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_h2_mhdv,T_HDV_BIC_FCEV_N,2030,T_D_pkm_hdv_bic,2.633811176842991,bn passenger-km/PJ,inter_city_buses/fcev; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_h2_mhdv,T_HDV_BIC_FCEV_N,2035,T_D_pkm_hdv_bic,2.773499907637892,bn passenger-km/PJ,inter_city_buses/fcev; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_h2_mhdv,T_HDV_BIC_FCEV_N,2040,T_D_pkm_hdv_bic,2.921176100154976,bn passenger-km/PJ,inter_city_buses/fcev; Mid; source years 2045..2045,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_h2_mhdv,T_HDV_BIC_FCEV_N,2045,T_D_pkm_hdv_bic,3.074712940030085,bn passenger-km/PJ,inter_city_buses/fcev; Mid; source years 2050..2050,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_EX,2015,T_D_pkm_hdv_bic,1.1674606269343362,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2011..2015,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_EX,2020,T_D_pkm_hdv_bic,1.6917444635836822,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2016..2020,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_EX,2023,T_D_pkm_hdv_bic,1.462452097533526,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2021..2023,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_N,2025,T_D_pkm_hdv_bic,1.6045804983622711,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_N,2030,T_D_pkm_hdv_bic,1.6975841190887921,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_N,2035,T_D_pkm_hdv_bic,1.7715129467860524,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_N,2040,T_D_pkm_hdv_bic,1.845231599916899,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2045..2045,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_gsl,T_HDV_BIC_GSL_N,2045,T_D_pkm_hdv_bic,1.9187666696038719,bn passenger-km/PJ,inter_city_buses/gasoline; Mid; source years 2050..2050,T01,5.0,5.0,5.0,5.0,5.0,efficiency-inter-city-buses:composite:1:4443a99ff36265b6
AB,T_elc_mhdv_chrg,T_HDV_BS_BEV_N,2025,T_D_pkm_hdv_bs,11.564600840565149,bn passenger-km/PJ,school_buses/bev; Mid; source years 2030..2030,T01,5.0,5.0,5.0,5.0,5.0,efficiency-school-buses:composite:1:a650f6e227f8007b
AB,T_elc_mhdv_chrg,T_HDV_BS_BEV_N,2030,T_D_pkm_hdv_bs,12.469217925466715,bn passenger-km/PJ,school_buses/bev; Mid; source years 2035..2035,T01,5.0,5.0,5.0,5.0,5.0,efficiency-school-buses:composite:1:a650f6e227f8007b
AB,T_elc_mhdv_chrg,T_HDV_BS_BEV_N,2035,T_D_pkm_hdv_bs,12.941540617115596,bn passenger-km/PJ,school_buses/bev; Mid; source years 2040..2040,T01,5.0,5.0,5.0,5.0,5.0,efficiency-school-buses:composite:1:a650f6e227f8007b
