ID,Spatial Scale,Region,Country Name,Technology Name,Metric,Unit,Data Source,Variable,Year,Value
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1895,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,500.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1896,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,1200.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1897,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,1500.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1898,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,1700.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_LV,National,LVA,Latvia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_LU,National,LUX,Luxembourg,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1899,
Passenger Cars_Total Number_US,National,USA,United States,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,8000.0
Passenger Cars_Total Number_FR,National,FRA,France,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,2900.0
Passenger Cars_Total Number_CA,National,CAN,Canada,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_GB,National,GBR,United Kingdom,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_NO,National,NOR,Norway,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_CH,National,CHE,Switzerland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_IT,National,ITA,Italy,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_CL,National,CHL,Chile,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_DK,National,DNK,Denmark,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_SE,National,SWE,Sweden,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_JP,National,JPN,Japan,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_IE,National,IRL,Ireland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_MX,National,MEX,Mexico,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_AU,National,AUS,Australia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_DE,National,DEU,Germany,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_FI,National,FIN,Finland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_NZ,National,NZL,New Zealand,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_HU,National,HUN,Hungary,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_AT,National,AUT,Austria,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_PL,National,POL,Poland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_NL,National,NLD,Netherlands,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_BE,National,BEL,Belgium,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_TR,National,TUR,Turkey,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_GR,National,GRC,Greece,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_PT,National,PRT,Portugal,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_CO,National,COL,Colombia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_IL,National,ISR,Israel,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_ES,National,ESP,Spain,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_SI,National,SVN,Slovenia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_LT,National,LTU,Lithuania,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_IS,National,ISL,Iceland,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_CZ,National,CZE,Czech Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_SK,National,SVK,Slovak Republic,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
Passenger Cars_Total Number_EE,National,EST,Estonia,Passenger Cars,Total Number,-,CHAT,Number of Units|Passenger Cars,1900,
