wards_size_class,vehicle_scope,nrcan_vehicle_class,nlr_atb_class,nrcan_ceud_class,year,market_share,notes,source -> data_source,data_year -> dq_time
Subcompact,ldv,Subcompact,Compact,Car,2018,0.07417990745338733,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Subcompact,ldv,Subcompact,Compact,Car,2021,0.0733020383337752,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Two-seater,ldv,Two-seater,Midsize,Car,2018,0.009661893854911792,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Two-seater,ldv,Two-seater,Midsize,Car,2021,0.016450148937165673,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Minivan,ldv,Minivan,Midsize SUV,Light Truck,2018,0.050561290152753166,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Minivan,ldv,Minivan,Midsize SUV,Light Truck,2021,0.02506757099051473,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Pickup truck: Small,ldv,Pickup truck: Small,Pickup,Light Truck,2018,0.02132539746343379,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Pickup truck: Small,ldv,Pickup truck: Small,Pickup,Light Truck,2021,0.020672849126717584,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Pickup truck: Standard,ldv,Pickup truck: Standard,Pickup,Light Truck,2018,0.25696837153644597,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Pickup truck: Standard,ldv,Pickup truck: Standard,Pickup,Light Truck,2021,0.2364701570150161,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
SUV: Small,ldv,Sport utility vehicle: Small,Small SUV,Light Truck,2018,0.5279627717965483,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
SUV: Small,ldv,Sport utility vehicle: Small,Small SUV,Light Truck,2021,0.5686862471056968,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
SUV: Standard,ldv,Sport utility vehicle: Standard,Midsize SUV,Light Truck,2018,0.10941298419679553,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
SUV: Standard,ldv,Sport utility vehicle: Standard,Midsize SUV,Light Truck,2021,0.1224010870958033,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Van: Passenger,ldv,Van: Passenger,Pickup,Light Truck,2018,0.0337691848540233,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Van: Passenger,ldv,Van: Passenger,Pickup,Light Truck,2021,0.026702088666251456,Complete aggregate Wards class share; the mapping columns show aggregation from the source class through NRCan Fuel Consumption Ratings and NLR ATB to NRCan CEUD.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 3,mhdv,,,Medium Trucks,2020,0.34046005535935858,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 4,mhdv,,,Medium Trucks,2020,0.085186599217333209,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 5,mhdv,,,Medium Trucks,2020,0.29951321943304382,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 6,mhdv,,,Medium Trucks,2020,0.040946835926314783,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 7,mhdv,,,Medium Trucks,2020,0.2338932900639496,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
Class 8,mhdv,,,Heavy Trucks,2020,1,Complete aggregate Wards GVWR-class share; Classes 3-7 map to NRCan CEUD Medium Trucks and Class 8 maps to Heavy Trucks.,"Wards Intelligence. (2022). Canada Car, Light truck, and Truck Sales by Line and GVWR in 2021 and 2020—Aggregated sales shares by line and GVWR [Dataset].",2022
