WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	47001	48000	1658	586	4	0	0	0	0	2	2250
COMMERCIAL	48001	49000	640	654	15	0	0	0	0	4	1313
COMMERCIAL	49001	50000	6476	6954	111	0	3	0	0	67	13611
COMMERCIAL	50001	51000	401	697	20	0	0	0	0	0	1118
COMMERCIAL	51001	52000	1492	1487	45	1	0	0	0	10	3035
COMMERCIAL	52001	53000	907	2503	50	0	0	0	0	5	3465
COMMERCIAL	53001	54000	570	2631	8	0	0	0	0	15	3224
COMMERCIAL	54001	55000	1384	1427	45	0	0	0	0	35	2891
COMMERCIAL	55001	56000	509	628	16	0	0	0	0	19	1172
COMMERCIAL	56001	57000	339	1042	15	0	0	0	0	2	1398
COMMERCIAL	57001	58000	1124	2994	14	0	0	0	0	8	4140
COMMERCIAL	58001	59000	662	787	19	0	0	0	0	7	1475
COMMERCIAL	59001	60000	1875	1296	11	0	0	0	0	33	3215
COMMERCIAL	60001	61000	327	395	7	0	0	0	0	7	736
COMMERCIAL	61001	62000	702	776	23	0	0	0	0	22	1523
COMMERCIAL	62001	63000	1247	914	7	0	0	0	0	15	2183
COMMERCIAL	63001	63500	16763	5928	6	0	2	0	0	187	22886
COMMERCIAL	63501	99999	22	6	0	0	0	0	0	14	42
ROAD BUILDING MACHINERY	0000	3000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	3001	3500	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	3501	4000	0	9	0	0	0	0	0	0	9
ROAD BUILDING MACHINERY	4001	4500	0	5	0	0	0	0	0	0	5
ROAD BUILDING MACHINERY	4501	5000	0	13	0	0	0	0	0	0	13
ROAD BUILDING MACHINERY	5001	6000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	6001	7000	0	12	0	0	0	0	0	0	12
ROAD BUILDING MACHINERY	7001	8000	0	13	0	0	0	0	0	1	14
ROAD BUILDING MACHINERY	8001	9000	0	16	1	0	0	0	0	0	17
ROAD BUILDING MACHINERY	9001	10000	0	16	1	0	0	0	0	0	17
ROAD BUILDING MACHINERY	10001	11000	0	9	1	0	0	0	0	0	10
ROAD BUILDING MACHINERY	11001	12000	0	20	1	0	0	0	0	1	22
ROAD BUILDING MACHINERY	12001	13000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	13001	14000	0	37	1	0	0	0	0	0	38
ROAD BUILDING MACHINERY	14001	15000	0	23	0	0	0	0	0	0	23
ROAD BUILDING MACHINERY	15001	16000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	16001	17000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	17001	18000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	18001	19000	0	24	1	0	0	0	0	0	25
ROAD BUILDING MACHINERY	19001	20000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	20001	21000	0	14	0	0	0	0	0	0	14
ROAD BUILDING MACHINERY	21001	22000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	22001	23000	0	38	2	0	0	0	0	0	40
ROAD BUILDING MACHINERY	23001	24000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	24001	25000	0	30	0	0	0	0	0	0	30
ROAD BUILDING MACHINERY	25001	26000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	26001	27000	0	11	0	0	0	0	0	2	13
ROAD BUILDING MACHINERY	27001	28000	0	31	0	0	0	0	0	0	31
ROAD BUILDING MACHINERY	28001	29000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	29001	30000	0	38	0	0	0	0	0	0	38
ROAD BUILDING MACHINERY	30001	31000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	31001	32000	0	17	0	0	0	0	0	1	18
ROAD BUILDING MACHINERY	32001	33000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	33001	34000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	34001	35000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	35001	36000	0	12	1	0	0	0	0	0	13
ROAD BUILDING MACHINERY	36001	37000	0	34	1	0	0	0	0	0	35
ROAD BUILDING MACHINERY	37001	38000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	38001	39000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	39001	40000	0	30	1	0	0	0	0	0	31
ROAD BUILDING MACHINERY	40001	41000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	41001	42000	0	16	1	0	0	0	0	1	18
ROAD BUILDING MACHINERY	42001	43000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	43001	44000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	44001	45000	0	20	0	0	0	0	0	0	20
ROAD BUILDING MACHINERY	45001	46000	0	70	0	0	0	0	0	0	70
ROAD BUILDING MACHINERY	46001	47000	0	4	0	0	0	0	0	1	5
ROAD BUILDING MACHINERY	47001	48000	0	5	0	0	0	0	0	0	5
ROAD BUILDING MACHINERY	48001	49000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	49001	50000	0	22	0	0	0	0	0	0	22
ROAD BUILDING MACHINERY	50001	51000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	51001	52000	0	8	0	0	0	0	0	1	9
ROAD BUILDING MACHINERY	52001	53000	0	15	0	0	0	0	0	0	15
ROAD BUILDING MACHINERY	53001	54000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	54001	55000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	55001	56000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	56001	57000	0	6	0	0	0	0	0	0	6
ROAD BUILDING MACHINERY	57001	58000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	58001	59000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	59001	60000	0	14	0	0	0	0	0	0	14
ROAD BUILDING MACHINERY	60001	61000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	61001	62000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	62001	63000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	63001	63500	0	23	0	0	0	0	0	0	23
PERMANENT APPARATUS	3001	3500	9	159	1	0	0	0	0	2	171
PERMANENT APPARATUS	3501	4000	5	119	2	0	0	0	0	1	127
PERMANENT APPARATUS	4001	4500	67	151	0	0	0	0	0	0	218
PERMANENT APPARATUS	4501	5000	17	192	5	0	0	0	0	1	215
PERMANENT APPARATUS	5001	6000	70	190	2	0	0	0	0	2	264
PERMANENT APPARATUS	6001	7000	46	195	4	0	0	0	0	1	246
PERMANENT APPARATUS	7001	8000	47	226	4	0	0	0	0	3	280
PERMANENT APPARATUS	8001	9000	106	223	1	0	0	0	0	1	331
PERMANENT APPARATUS	9001	10000	67	297	1	0	0	0	0	5	370
PERMANENT APPARATUS	10001	11000	99	328	2	0	0	0	0	10	439
PERMANENT APPARATUS	11001	12000	44	148	0	0	0	0	0	5	197
PERMANENT APPARATUS	12001	13000	44	158	1	0	0	0	0	5	208
PERMANENT APPARATUS	13001	14000	34	144	3	0	0	0	0	4	185
PERMANENT APPARATUS	14001	15000	128	175	2	0	0	0	0	4	309
PERMANENT APPARATUS	15001	16000	66	98	1	0	0	0	0	0	165
PERMANENT APPARATUS	16001	17000	63	64	0	0	0	0	0	1	128
PERMANENT APPARATUS	17001	18000	96	62	0	0	0	0	0	1	159
PERMANENT APPARATUS	19001	20000	61	90	0	0	0	0	0	2	153
PERMANENT APPARATUS	21001	22000	47	81	1	0	0	0	0	2	131
PERMANENT APPARATUS	24001	25000	88	75	0	0	0	0	0	1	164
PERMANENT APPARATUS	25001	26000	79	47	0	0	0	0	0	0	126
PERMANENT APPARATUS	26001	27000	123	49	0	0	0	0	0	1	173
PERMANENT APPARATUS	27001	28000	221	66	2	0	0	0	0	2	291
PERMANENT APPARATUS	29001	30000	121	62	2	0	0	0	0	0	185
FARM TRUCK	0000	3000	0	1690	153	2	0	0	0	0	1845
FARM TRUCK	3001	3500	29347	37002	33	0	0	0	1	478	66861
FARM TRUCK	3501	4000	2234	3212	24	0	0	0	0	22	5492
FARM TRUCK	4001	4500	8208	6179	13	0	0	0	0	77	14477
FARM TRUCK	4501	5000	287	1412	12	0	0	0	0	15	1726
FARM TRUCK	5001	6000	400	1574	15	0	0	0	0	15	2004
FARM TRUCK	6001	7000	374	1426	12	0	0	0	0	25	1837
FARM TRUCK	7001	8000	430	1386	8	0	0	0	0	18	1842
FARM TRUCK	8001	9000	414	1228	9	0	0	0	0	19	1670
FARM TRUCK	9001	10000	685	2118	14	0	0	0	0	42	2859
FARM TRUCK	10001	11000	887	1562	12	0	0	0	0	29	2490
FARM TRUCK	11001	12000	241	1162	4	0	0	0	0	20	1427
FARM TRUCK	12001	13000	147	1179	7	0	0	0	0	10	1343
FARM TRUCK	13001	14000	173	1533	13	0	0	0	0	11	1730
FARM TRUCK	14001	15000	432	2409	8	0	0	0	0	28	2877
FARM TRUCK	15001	16000	223	794	5	0	0	0	0	13	1035
FARM TRUCK	16001	17000	102	356	0	0	0	0	0	5	463
FARM TRUCK	17001	18000	129	329	0	0	0	0	0	9	467
FARM TRUCK	18001	19000	53	201	1	0	0	0	0	2	257
FARM TRUCK	19001	20000	172	474	0	0	0	0	0	10	656
FARM TRUCK	20001	21000	30	236	3	0	0	0	0	0	269
FARM TRUCK	21001	22000	54	472	5	0	0	0	0	5	536
FARM TRUCK	22001	23000	84	413	3	0	0	0	0	7	507
FARM TRUCK	23001	24000	168	338	0	0	0	0	0	4	510
FARM TRUCK	24001	25000	301	512	1	0	0	0	0	12	826
FARM TRUCK	25001	26000	139	227	1	0	0	0	0	7	374
FARM TRUCK	26001	27000	167	226	1	0	0	0	0	5	399
FARM TRUCK	27001	28000	168	244	0	0	0	0	0	6	418
FARM TRUCK	28001	29000	59	75	0	0	0	0	0	3	137
FARM TRUCK	29001	30000	282	411	2	0	0	0	0	7	702
FARM TRUCK	30001	31000	21	49	0	0	0	0	0	0	70
FARM TRUCK	31001	32000	81	127	1	0	0	0	0	2	211
FARM TRUCK	32001	33000	36	49	0	0	0	0	0	2	87
FARM TRUCK	33001	34000	49	61	0	0	0	0	0	3	113
FARM TRUCK	34001	35000	122	142	0	0	0	1	0	7	272
FARM TRUCK	35001	36000	89	93	1	0	0	0	0	3	186
FARM TRUCK	36001	37000	141	189	1	0	0	0	0	2	333
FARM TRUCK	37001	38000	86	81	1	0	0	0	0	2	170
FARM TRUCK	38001	39000	46	57	1	0	0	0	0	0	104
FARM TRUCK	39001	40000	205	232	2	0	0	0	0	8	447
FARM TRUCK	40001	41000	38	80	2	0	0	0	0	3	123
FARM TRUCK	41001	42000	66	67	1	0	0	0	0	0	134
FARM TRUCK	42001	43000	37	37	0	0	0	0	0	1	75
FARM TRUCK	43001	44000	47	65	1	0	0	0	0	0	113
FARM TRUCK	44001	45000	172	110	0	0	0	0	0	3	285
FARM TRUCK	45001	46000	41	41	0	0	0	0	0	0	82
FARM TRUCK	46001	47000	19	11	1	0	0	0	0	0	31
FARM TRUCK	47001	48000	49	39	0	0	0	0	0	0	88
FARM TRUCK	48001	49000	21	18	0	0	0	0	0	1	40
FARM TRUCK	49001	50000	251	162	0	0	0	0	0	2	415
FARM TRUCK	50001	51000	11	14	0	0	0	0	0	0	25
FARM TRUCK	51001	52000	86	80	0	0	0	0	0	1	167
FARM TRUCK	52001	53000	69	72	1	0	0	0	0	0	142
FARM TRUCK	53001	54000	71	45	0	0	0	0	0	2	118
FARM TRUCK	54001	55000	146	107	0	0	0	0	0	2	255
FARM TRUCK	55001	56000	46	39	0	0	0	0	0	1	86
FARM TRUCK	56001	57000	32	11	0	0	0	0	0	1	44
FARM TRUCK	57001	58000	106	43	0	0	0	0	0	1	150
FARM TRUCK	58001	59000	41	16	0	0	0	0	0	2	59
FARM TRUCK	59001	60000	226	133	1	0	0	0	0	3	363
FARM TRUCK	60001	61000	15	8	1	0	0	0	0	0	24
FARM TRUCK	61001	62000	66	30	0	0	0	0	0	0	96
FARM TRUCK	62001	63000	112	65	0	0	0	0	0	3	180
FARM TRUCK	63001	63500	1445	414	0	0	0	0	0	12	1871
BUS	0001	2500	7	131	30	0	0	0	0	1	169
BUS	2501	3000	172	557	14	0	0	0	0	6	749
BUS	3001	3500	717	912	3	1	0	0	0	36	1669
BUS	3501	4000	1076	968	15	1	0	0	0	29	2089
BUS	4001	4500	812	578	0	0	0	0	0	18	1408
BUS	4501	5000	600	502	8	0	0	0	0	13	1123
BUS	5001	6000	1594	606	3	0	0	0	0	50	2253
BUS	6001	7000	935	460	7	0	0	0	0	15	1417
BUS	7001	8000	250	588	11	0	0	0	0	10	859
BUS	8001	9000	317	1047	23	0	0	0	0	58	1445
BUS	9001	10000	1715	1641	17	1	0	0	0	84	3458
BUS	10001	11000	1566	951	5	0	0	0	0	26	2548
BUS	11001	12000	1934	1160	29	0	0	0	0	41	3164
BUS	12001	13000	882	622	3	0	0	0	0	6	1513
BUS	13001	14000	265	322	1	0	0	0	0	3	591
BUS	14001	15000	841	205	1	0	0	0	0	6	1053
BUS	15001	16000	1266	574	0	0	0	0	0	6	1846
BUS	16001	17000	213	324	0	0	0	0	0	7	544
BUS	17001	18000	737	112	0	0	0	0	0	1	850
BUS	18001	19000	1454	104	1	0	0	0	0	2	1561
BUS	19001	20000	1250	129	1	0	0	0	0	25	1405
BUS	20001	21000	331	91	0	0	0	0	0	11	433
BUS	21001	22000	176	48	0	0	0	0	0	1	225
BUS	22001	23000	414	12	0	0	0	0	0	1	427
BUS	23001	24000	475	80	0	0	0	0	0	0	555
BUS	24001	25000	189	55	0	0	0	0	0	0	244
BUS	25001	26000	260	12	0	0	0	0	0	0	272
BUS	26001	27000	245	66	0	0	0	0	0	0	311
BUS	27001	28000	115	43	0	0	0	0	0	1	159
BUS	28001	29000	2	9	0	0	0	0	0	0	11
BUS	29001	30000	0	34	0	0	0	0	0	1	35
BUS	30001	31000	132	7	1	0	0	0	0	0	140
BUS	31001	32000	49	0	0	0	0	0	0	0	49
BUS	33001	34000	0	5	0	0	0	0	0	0	5
BUS	34001	35000	1	2	0	0	0	0	0	0	3
BUS	35001	36000	0	1	0	0	0	0	0	0	1
BUS	36001	37000	3	1	0	0	0	0	0	0	4
BUS	39001	40000	6	2	0	0	0	0	0	0	8
BUS	40001	99999	2	5	1	0	0	0	0	0	8
SCHOOL BUS	0001	2500	9	41	3	0	0	0	0	0	53
SCHOOL BUS	2501	3000	337	197	5	0	0	0	0	0	539
SCHOOL BUS	3001	3500	558	280	0	0	0	0	0	2	840
SCHOOL BUS	3501	4000	805	396	21	0	0	0	0	1	1223
SCHOOL BUS	4001	4500	936	231	0	0	0	0	0	1	1168
SCHOOL BUS	4501	5000	914	186	0	0	0	0	0	0	1100
SCHOOL BUS	5001	6000	749	110	0	0	0	0	0	2	861
SCHOOL BUS	6001	7000	248	173	4	0	0	0	0	0	425
SCHOOL BUS	7001	8000	146	526	31	0	0	0	0	2	705
SCHOOL BUS	8001	9000	828	942	40	1	0	0	0	12	1823
SCHOOL BUS	9001	10000	2435	1355	14	0	0	0	0	12	3816
SCHOOL BUS	10001	11000	1849	671	1	0	0	0	0	2	2523
SCHOOL BUS	11001	12000	1544	184	0	0	0	0	0	4	1732
SCHOOL BUS	12001	13000	257	39	0	0	0	0	0	0	296
SCHOOL BUS	13001	14000	670	30	0	0	0	0	0	4	704
SCHOOL BUS	14001	15000	89	4	0	0	0	0	0	0	93
SCHOOL BUS	15001	16000	10	5	0	0	0	0	0	0	15
SCHOOL BUS	16001	17000	33	7	0	0	0	0	0	0	40
SCHOOL BUS	17001	18000	19	2	0	0	0	0	0	0	21
SCHOOL BUS	18001	19000	25	0	0	0	0	0	0	0	25
SCHOOL BUS	19001	20000	0	2	0	0	0	0	0	0	2
SCHOOL BUS	20001	99999	0	5	1	0	0	0	0	0	6
