WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
COMMERCIAL	50001	51000	390	688	20	0	0	0	0	0	1098
COMMERCIAL	51001	52000	1308	1491	45	1	0	0	0	8	2853
COMMERCIAL	52001	53000	893	2518	50	0	0	0	0	6	3467
COMMERCIAL	53001	54000	558	2668	8	0	0	0	0	10	3244
COMMERCIAL	54001	55000	1400	1516	45	0	0	0	0	24	2985
COMMERCIAL	55001	56000	516	630	16	0	0	0	0	16	1178
COMMERCIAL	56001	57000	322	1049	15	0	0	0	0	2	1388
COMMERCIAL	57001	58000	1133	3028	14	0	0	0	0	10	4185
COMMERCIAL	58001	59000	641	806	19	0	0	0	0	9	1475
COMMERCIAL	59001	60000	1924	1351	11	0	0	0	0	43	3329
COMMERCIAL	60001	61000	321	404	7	0	0	0	0	4	736
COMMERCIAL	61001	62000	657	792	23	0	0	0	0	16	1488
COMMERCIAL	62001	63000	1171	951	7	0	0	0	0	13	2142
COMMERCIAL	63001	63500	17702	5994	6	0	2	0	0	168	23872
COMMERCIAL	63501	99999	20	6	0	0	0	0	0	17	43
ROAD BUILDING MACHINERY	0000	3000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	3001	3500	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	3501	4000	0	9	0	0	0	0	0	0	9
ROAD BUILDING MACHINERY	4001	4500	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	4501	5000	0	12	0	0	0	0	0	0	12
ROAD BUILDING MACHINERY	5001	6000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	6001	7000	0	12	0	0	0	0	0	0	12
ROAD BUILDING MACHINERY	7001	8000	0	13	0	0	0	0	0	1	14
ROAD BUILDING MACHINERY	8001	9000	0	16	1	0	0	0	0	0	17
ROAD BUILDING MACHINERY	9001	10000	0	16	1	0	0	0	0	0	17
ROAD BUILDING MACHINERY	10001	11000	0	9	1	0	0	0	0	0	10
ROAD BUILDING MACHINERY	11001	12000	0	20	1	0	0	0	0	1	22
ROAD BUILDING MACHINERY	12001	13000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	13001	14000	0	37	1	0	0	0	0	0	38
ROAD BUILDING MACHINERY	14001	15000	0	23	0	0	0	0	0	0	23
ROAD BUILDING MACHINERY	15001	16000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	16001	17000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	17001	18000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	18001	19000	0	24	1	0	0	0	0	0	25
ROAD BUILDING MACHINERY	19001	20000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	20001	21000	0	14	0	0	0	0	0	0	14
ROAD BUILDING MACHINERY	21001	22000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	22001	23000	0	38	2	0	0	0	0	0	40
ROAD BUILDING MACHINERY	23001	24000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	24001	25000	0	30	0	0	0	0	0	0	30
ROAD BUILDING MACHINERY	25001	26000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	26001	27000	0	11	0	0	0	0	0	2	13
ROAD BUILDING MACHINERY	27001	28000	0	31	0	0	0	0	0	0	31
ROAD BUILDING MACHINERY	28001	29000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	29001	30000	0	38	0	0	0	0	0	0	38
ROAD BUILDING MACHINERY	30001	31000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	31001	32000	0	17	0	0	0	0	0	1	18
ROAD BUILDING MACHINERY	32001	33000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	33001	34000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	34001	35000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	35001	36000	0	12	1	0	0	0	0	0	13
ROAD BUILDING MACHINERY	36001	37000	0	34	1	0	0	0	0	0	35
ROAD BUILDING MACHINERY	37001	38000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	38001	39000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	39001	40000	0	29	1	0	0	0	0	0	30
ROAD BUILDING MACHINERY	40001	41000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	41001	42000	0	16	1	0	0	0	0	1	18
ROAD BUILDING MACHINERY	42001	43000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	43001	44000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	44001	45000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	45001	46000	0	70	0	0	0	0	0	0	70
ROAD BUILDING MACHINERY	46001	47000	0	4	0	0	0	0	0	1	5
ROAD BUILDING MACHINERY	47001	48000	0	5	0	0	0	0	0	0	5
ROAD BUILDING MACHINERY	48001	49000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	49001	50000	0	22	0	0	0	0	0	0	22
ROAD BUILDING MACHINERY	50001	51000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	51001	52000	0	8	0	0	0	0	0	1	9
ROAD BUILDING MACHINERY	52001	53000	0	15	0	0	0	0	0	0	15
ROAD BUILDING MACHINERY	53001	54000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	54001	55000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	55001	56000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	56001	57000	0	6	0	0	0	0	0	0	6
ROAD BUILDING MACHINERY	57001	58000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	58001	59000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	59001	60000	0	14	0	0	0	0	0	0	14
ROAD BUILDING MACHINERY	60001	61000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	61001	62000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	62001	63000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	63001	63500	0	21	0	0	0	0	0	0	21
PERMANENT APPARATUS	3001	3500	5	163	1	0	0	0	0	2	171
PERMANENT APPARATUS	3501	4000	2	121	2	0	0	0	0	1	126
PERMANENT APPARATUS	4001	4500	56	158	0	0	0	0	0	0	214
PERMANENT APPARATUS	4501	5000	13	191	5	0	0	0	0	3	212
PERMANENT APPARATUS	5001	6000	55	193	2	0	0	0	0	2	252
PERMANENT APPARATUS	6001	7000	30	209	4	0	0	0	0	1	244
PERMANENT APPARATUS	7001	8000	35	234	4	0	0	0	0	3	276
PERMANENT APPARATUS	8001	9000	88	236	1	0	0	0	0	2	327
PERMANENT APPARATUS	9001	10000	48	310	1	0	0	0	0	5	364
PERMANENT APPARATUS	10001	11000	78	332	2	0	0	0	0	10	422
PERMANENT APPARATUS	11001	12000	35	147	0	0	0	0	0	4	186
PERMANENT APPARATUS	12001	13000	42	160	1	0	0	0	0	5	208
PERMANENT APPARATUS	13001	14000	30	148	3	0	0	0	0	4	185
PERMANENT APPARATUS	14001	15000	110	184	2	0	0	0	0	5	301
PERMANENT APPARATUS	15001	16000	62	98	1	0	0	0	0	0	161
PERMANENT APPARATUS	16001	17000	57	69	0	0	0	0	0	1	127
PERMANENT APPARATUS	17001	18000	93	69	0	0	0	0	0	2	164
PERMANENT APPARATUS	19001	20000	61	94	0	0	0	0	0	3	158
PERMANENT APPARATUS	21001	22000	44	86	1	0	0	0	0	2	133
PERMANENT APPARATUS	24001	25000	79	82	0	0	0	0	0	1	162
PERMANENT APPARATUS	25001	26000	67	61	0	0	0	0	0	0	128
PERMANENT APPARATUS	26001	27000	116	56	0	0	0	0	0	0	172
PERMANENT APPARATUS	27001	28000	210	75	2	0	0	0	0	2	289
PERMANENT APPARATUS	29001	30000	116	80	2	0	0	0	0	0	198
FARM TRUCK	0000	3000	0	1689	153	2	0	0	0	0	1844
FARM TRUCK	3001	3500	24918	39776	33	0	0	0	1	467	65195
FARM TRUCK	3501	4000	1953	3420	24	0	0	0	0	20	5417
FARM TRUCK	4001	4500	7613	7049	13	0	0	0	0	78	14753
FARM TRUCK	4501	5000	257	1442	12	0	0	0	0	16	1727
FARM TRUCK	5001	6000	355	1611	15	0	0	0	0	13	1994
FARM TRUCK	6001	7000	337	1457	12	0	0	0	0	26	1832
FARM TRUCK	7001	8000	343	1447	8	0	0	0	0	19	1817
FARM TRUCK	8001	9000	346	1270	9	0	0	0	0	19	1644
FARM TRUCK	9001	10000	597	2186	14	0	0	0	0	41	2838
FARM TRUCK	10001	11000	757	1660	12	0	0	0	0	37	2466
FARM TRUCK	11001	12000	212	1195	4	0	0	0	0	21	1432
FARM TRUCK	12001	13000	128	1195	7	0	0	0	0	10	1340
FARM TRUCK	13001	14000	154	1551	13	0	0	0	0	11	1729
FARM TRUCK	14001	15000	384	2450	8	0	0	0	0	30	2872
FARM TRUCK	15001	16000	189	829	5	0	0	0	0	14	1037
FARM TRUCK	16001	17000	91	362	0	0	0	0	0	8	461
FARM TRUCK	17001	18000	109	348	0	0	0	0	0	9	466
FARM TRUCK	18001	19000	46	211	1	0	0	0	0	2	260
FARM TRUCK	19001	20000	155	506	0	0	0	0	0	12	673
FARM TRUCK	20001	21000	28	243	3	0	0	0	0	0	274
FARM TRUCK	21001	22000	51	475	5	0	0	0	0	5	536
FARM TRUCK	22001	23000	67	432	3	0	0	0	0	8	510
FARM TRUCK	23001	24000	164	351	0	0	0	0	0	1	516
FARM TRUCK	24001	25000	283	550	1	0	0	0	0	12	846
FARM TRUCK	25001	26000	122	247	1	0	0	0	0	6	376
FARM TRUCK	26001	27000	164	230	1	0	0	0	0	6	401
FARM TRUCK	27001	28000	151	261	0	0	0	0	0	5	417
FARM TRUCK	28001	29000	48	89	0	0	0	0	0	3	140
FARM TRUCK	29001	30000	268	441	2	0	0	0	0	8	719
FARM TRUCK	30001	31000	22	50	0	0	0	0	0	0	72
FARM TRUCK	31001	32000	65	141	1	0	0	0	0	2	209
FARM TRUCK	32001	33000	36	53	0	0	0	0	0	2	91
FARM TRUCK	33001	34000	45	65	0	0	0	0	0	3	113
FARM TRUCK	34001	35000	116	158	0	0	0	1	0	6	281
FARM TRUCK	35001	36000	90	106	1	0	0	0	0	5	202
FARM TRUCK	36001	37000	121	211	1	0	0	0	0	2	335
FARM TRUCK	37001	38000	67	90	1	0	0	0	0	2	160
FARM TRUCK	38001	39000	40	64	1	0	0	0	0	0	105
FARM TRUCK	39001	40000	198	253	2	0	0	0	0	8	461
FARM TRUCK	40001	41000	28	90	2	0	0	0	0	3	123
FARM TRUCK	41001	42000	61	73	1	0	0	0	0	1	136
FARM TRUCK	42001	43000	34	42	0	0	0	0	0	1	77
FARM TRUCK	43001	44000	48	65	1	0	0	0	0	0	114
FARM TRUCK	44001	45000	164	126	0	0	0	0	0	4	294
FARM TRUCK	45001	46000	37	45	0	0	0	0	0	0	82
FARM TRUCK	46001	47000	15	14	1	0	0	0	0	0	30
FARM TRUCK	47001	48000	50	45	0	0	0	0	0	0	95
FARM TRUCK	48001	49000	20	23	0	0	0	0	0	1	44
FARM TRUCK	49001	50000	232	193	0	0	0	0	0	3	428
FARM TRUCK	50001	51000	8	16	0	0	0	0	0	0	24
FARM TRUCK	51001	52000	67	91	0	0	0	0	0	1	159
FARM TRUCK	52001	53000	61	82	1	0	0	0	0	0	144
FARM TRUCK	53001	54000	70	50	0	0	0	0	0	3	123
FARM TRUCK	54001	55000	135	128	0	0	0	0	0	2	265
FARM TRUCK	55001	56000	37	48	0	0	0	0	0	0	85
FARM TRUCK	56001	57000	26	15	0	0	0	0	0	1	42
FARM TRUCK	57001	58000	93	60	0	0	0	0	0	0	153
FARM TRUCK	58001	59000	40	22	0	0	0	0	0	2	64
FARM TRUCK	59001	60000	220	163	1	0	0	0	0	2	386
FARM TRUCK	60001	61000	17	9	1	0	0	0	0	0	27
FARM TRUCK	61001	62000	65	34	0	0	0	0	0	0	99
FARM TRUCK	62001	63000	107	74	0	0	0	0	0	3	184
FARM TRUCK	63001	63500	1383	574	0	0	0	0	0	14	1971
BUS	0001	2500	5	132	30	0	0	0	0	1	168
BUS	2501	3000	186	572	14	0	0	0	0	6	778
BUS	3001	3500	671	978	3	1	0	0	0	37	1690
BUS	3501	4000	886	1061	15	1	0	0	0	29	1992
BUS	4001	4500	740	624	0	0	0	0	0	19	1383
BUS	4501	5000	460	547	8	0	0	0	0	20	1035
BUS	5001	6000	1493	727	3	0	0	0	0	50	2273
BUS	6001	7000	874	543	7	0	0	0	0	17	1441
BUS	7001	8000	203	593	11	0	0	0	0	11	818
BUS	8001	9000	218	1109	23	0	0	0	0	58	1408
BUS	9001	10000	1273	1853	17	1	0	0	0	80	3224
BUS	10001	11000	1359	1156	5	0	0	0	0	24	2544
BUS	11001	12000	2059	1270	29	0	0	0	0	50	3408
BUS	12001	13000	869	620	3	0	0	0	0	9	1501
BUS	13001	14000	189	372	1	0	0	0	0	3	565
BUS	14001	15000	782	222	1	0	0	0	0	8	1013
BUS	15001	16000	1215	596	0	0	0	0	0	8	1819
BUS	16001	17000	157	329	0	0	0	0	0	6	492
BUS	17001	18000	716	106	0	0	0	0	0	1	823
BUS	18001	19000	1446	127	1	0	0	0	0	2	1576
BUS	19001	20000	1222	162	1	0	0	0	0	26	1411
BUS	20001	21000	274	129	0	0	0	0	0	12	415
BUS	21001	22000	104	102	0	0	0	0	0	1	207
BUS	22001	23000	359	65	0	0	0	0	0	1	425
BUS	23001	24000	389	163	0	0	0	0	0	0	552
BUS	24001	25000	119	130	0	0	0	0	0	0	249
BUS	25001	26000	265	13	0	0	0	0	0	0	278
BUS	26001	27000	239	75	0	0	0	0	0	0	314
BUS	27001	28000	96	64	0	0	0	0	0	1	161
BUS	28001	29000	7	9	0	0	0	0	0	0	16
BUS	29001	30000	0	33	0	0	0	0	0	1	34
BUS	30001	31000	124	8	1	0	0	0	0	0	133
BUS	31001	32000	52	0	0	0	0	0	0	0	52
BUS	33001	34000	0	5	0	0	0	0	0	0	5
BUS	34001	35000	0	3	0	0	0	0	0	0	3
BUS	35001	36000	0	1	0	0	0	0	0	0	1
BUS	36001	37000	0	2	0	0	0	0	0	0	2
BUS	39001	40000	2	7	0	0	0	0	0	0	9
BUS	40001	99999	2	6	1	0	0	0	0	0	9
SCHOOL BUS	0001	2500	2	44	3	0	0	0	0	0	49
SCHOOL BUS	2501	3000	298	201	5	0	0	0	0	21	525
SCHOOL BUS	3001	3500	528	288	0	0	0	0	0	2	818
SCHOOL BUS	3501	4000	733	385	21	0	0	0	0	1	1140
SCHOOL BUS	4001	4500	955	255	0	0	0	0	0	2	1212
SCHOOL BUS	4501	5000	838	238	0	0	0	0	0	0	1076
SCHOOL BUS	5001	6000	758	174	0	0	0	0	0	0	932
SCHOOL BUS	6001	7000	240	197	4	0	0	0	0	1	442
SCHOOL BUS	7001	8000	115	548	31	0	0	0	0	3	697
SCHOOL BUS	8001	9000	730	998	40	1	0	0	0	15	1784
SCHOOL BUS	9001	10000	1868	1565	14	0	0	0	0	15	3462
SCHOOL BUS	10001	11000	1805	920	1	0	0	0	0	2	2728
SCHOOL BUS	11001	12000	1755	308	0	0	0	0	0	7	2070
SCHOOL BUS	12001	13000	243	58	0	0	0	0	0	0	301
SCHOOL BUS	13001	14000	652	64	0	0	0	0	0	1	717
SCHOOL BUS	14001	15000	85	9	0	0	0	0	0	0	94
SCHOOL BUS	15001	16000	5	7	0	0	0	0	0	0	12
SCHOOL BUS	16001	17000	30	8	0	0	0	0	0	0	38
SCHOOL BUS	17001	18000	20	7	0	0	0	0	0	0	27
SCHOOL BUS	18001	19000	17	0	0	0	0	0	0	0	17
SCHOOL BUS	19001	20000	0	1	0	0	0	0	0	0	1
SCHOOL BUS	20001	99999	0	5	1	0	0	0	0	0	6
