VEHICLE_CLASS	DESCRIPTOR	VALUE	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
PASSENGER	YEAR	1999	25807	255163	34100	161115	54774	15053	13	9163	555188
PASSENGER	YEAR	1998	18504	265620	34154	170136	69373	12730	15	9006	579538
PASSENGER	YEAR	1997	13764	239585	31112	157813	44031	10522	25	7628	504480
PASSENGER	YEAR	1996	7907	195436	24065	127590	29360	8313	8	5567	398246
PASSENGER	YEAR	1995	8482	233936	28871	158644	33938	9709	8	5828	479416
PASSENGER	YEAR	1994	6150	211579	25338	147974	32560	8891	7	4473	436972
PASSENGER	YEAR	1993	5238	222714	25384	153257	34837	9379	1	4029	454839
PASSENGER	YEAR	1992	5201	242321	26805	162261	38307	10259	4	3749	488907
PASSENGER	YEAR	1991	5398	239457	24773	152951	36510	9822	19	2695	471625
PASSENGER	YEAR	1990	6034	257169	25437	161224	39162	10419	19	2288	501752
PASSENGER	YEAR	1989	5347	284804	25647	176066	41459	11520	5	1828	546676
PASSENGER	YEAR	1988	5582	308302	25785	182373	45679	12321	2	1732	581776
PASSENGER	YEAR	1987	6200	289776	21816	168962	41355	11088	1	859	540057
PASSENGER	YEAR	1986	5033	323950	22692	189884	44621	13256	0	677	600113
PASSENGER	YEAR	1985	4260	292073	19489	170767	40703	11571	0	538	539401
PASSENGER	YEAR	1984	3643	266324	17377	153188	38472	10325	0	527	489856
PASSENGER	YEAR	1983	2202	189841	11827	108255	26622	7236	3	261	346247
PASSENGER	YEAR	1982	1712	172777	11464	100348	23922	6336	5	190	316754
PASSENGER	YEAR	1981	2981	233477	16482	130936	30081	8165	1	316	422439
PASSENGER	YEAR	1980	3212	240523	19501	134771	30488	8309	1	271	437076
PASSENGER	YEAR	1979	4265	256053	22221	134524	28664	8359	1	402	454489
PASSENGER	YEAR	1978	3466	259608	24088	146056	26193	7734	3	297	467445
PASSENGER	YEAR	1977	2754	244679	24480	137246	21191	7312	4	276	437942
PASSENGER	YEAR	1976	2860	243839	27840	141650	18257	7570	2	274	442292
PASSENGER	YEAR	1975	2301	197915	25948	115702	13172	6680	3	214	361935
PASSENGER	YEAR	1974	2861	203438	36299	120539	11518	7383	5	175	382218
PASSENGER	YEAR	1973	3208	196981	42375	111453	8863	7591	2	216	370689
PASSENGER	YEAR	1972	3920	149549	35713	76445	5901	5514	1	175	277218
PASSENGER	YEAR	1971	3254	106252	28181	51748	3670	4051	3	149	197308
PASSENGER	YEAR	1970	4370	88105	25332	40669	3013	3281	0	149	164919
PASSENGER	YEAR	1969	5909	82358	24882	34268	2741	2813	1	172	153144
PASSENGER	YEAR	1968	4741	60178	18548	24051	2165	2003	0	145	111831
PASSENGER	YEAR	1967	4680	38274	12609	13663	1650	1296	0	116	72288
PASSENGER	YEAR	1966	4096	28742	9274	10240	1332	891	1	110	54686
PASSENGER	YEAR	1965	3276	18480	6072	6321	936	588	1	82	35756
PASSENGER	YEAR	1964	2357	11796	4036	3526	614	345	0	76	22750
PASSENGER	YEAR	1963	1479	6749	2418	1835	434	213	0	63	13191
PASSENGER	YEAR	1962	1156	4749	1868	1031	364	119	1	32	9320
PASSENGER	YEAR	1961	798	2849	1146	476	208	70	0	25	5572
PASSENGER	YEAR	1960	792	2348	1146	311	235	60	0	24	4916
PASSENGER	YEAR	1959	821	1914	1092	154	193	50	0	20	4244
PASSENGER	YEAR	1958	695	1597	885	95	177	49	0	27	3525
PASSENGER	YEAR	1957	1400	2202	1358	91	372	63	1	29	5516
PASSENGER	YEAR	1956	1201	1886	1184	77	290	67	0	26	4731
PASSENGER	YEAR	1955	1362	1881	1167	52	276	55	0	19	4812
PASSENGER	YEAR	1954	534	978	595	41	130	25	0	15	2318
PASSENGER	YEAR	1953	673	1123	736	42	119	32	0	14	2739
PASSENGER	YEAR	1952	679	964	614	32	77	23	0	20	2409
PASSENGER	YEAR	1951	704	933	645	29	105	29	0	19	2464
PASSENGER	YEAR	1950	643	822	623	18	96	23	0	15	2240
PASSENGER	YEAR	1949	433	631	474	11	63	26	0	10	1648
PASSENGER	YEAR	1948	464	657	465	14	65	18	0	8	1691
PASSENGER	YEAR	1947	457	689	598	19	70	22	0	21	1876
PASSENGER	YEAR	1946	247	357	294	5	36	19	0	8	966
PASSENGER	YEAR	1945	47	41	17	1	5	2	0	0	113
PASSENGER	YEAR	1944	32	17	19	1	1	1	0	2	73
PASSENGER	YEAR	1943	22	34	15	1	3	0	0	1	76
PASSENGER	YEAR	1942	100	135	118	4	12	5	0	5	379
PASSENGER	YEAR	1941	250	376	291	2	45	9	0	8	981
PASSENGER	YEAR	1940	372	514	435	5	65	15	0	16	1422
PASSENGER	YEAR	1939	275	441	340	5	53	20	0	8	1142
PASSENGER	YEAR	1938	311	433	345	4	43	21	0	6	1163
PASSENGER	YEAR	1937	358	560	486	9	84	25	0	10	1532
PASSENGER	YEAR	1936	269	364	298	2	46	16	0	2	997
PASSENGER	YEAR	1935	201	315	245	1	27	8	0	5	802
PASSENGER	YEAR	1934	355	514	356	2	62	19	0	6	1314
PASSENGER	YEAR	1933	188	301	196	0	35	11	0	0	731
PASSENGER	YEAR	1932	410	600	402	3	51	18	0	6	1490
PASSENGER	YEAR	1931	672	886	550	1	98	25	0	13	2245
PASSENGER	YEAR	1930	710	939	628	5	91	31	0	14	2418
PASSENGER	YEAR	1929	504	665	512	1	61	25	0	7	1775
PASSENGER	YEAR	1928	410	581	421	1	46	15	0	9	1483
PASSENGER	YEAR	1927	173	374	305	3	25	10	0	11	901
PASSENGER	YEAR	1926	151	243	198	2	19	5	0	4	622
PASSENGER	YEAR	1925	52	137	89	0	10	6	0	0	294
PASSENGER	YEAR	1924	47	106	78	1	4	6	0	4	246
PASSENGER	YEAR	1923	163	234	126	2	32	5	0	3	565
PASSENGER	YEAR	1922	34	78	47	0	6	2	0	0	167
PASSENGER	YEAR	1921	17	38	23	0	3	3	0	0	84
PASSENGER	YEAR	1920	11	30	20	0	2	0	0	0	63
PASSENGER	YEAR	1919	14	122	42	52	6	4	0	0	240
PASSENGER	YEAR	1918	9	38	13	1	0	1	0	0	62
PASSENGER	YEAR	1917	20	48	29	4	3	2	0	0	106
PASSENGER	YEAR	1916	4	25	10	1	1	2	0	1	44
PASSENGER	YEAR	1915	27	46	19	1	6	3	0	1	103
PASSENGER	YEAR	1914	20	36	21	0	5	1	0	0	83
PASSENGER	YEAR	1913	13	37	13	0	3	2	0	0	68
PASSENGER	YEAR	1912	8	32	8	0	1	4	0	0	53
PASSENGER	YEAR	1911	8	45	8	4	2	4	0	0	71
PASSENGER	YEAR	1910	3	19	11	1	1	1	0	0	36
PASSENGER	YEAR	1909	5	8	10	1	3	0	0	0	27
PASSENGER	YEAR	1908	2	13	2	5	2	1	0	0	25
PASSENGER	YEAR	1907	2	5	8	0	2	0	0	0	17
PASSENGER	YEAR	1906	1	8	5	2	2	2	0	0	20
PASSENGER	YEAR	1905	0	6	3	0	0	0	0	0	9
PASSENGER	YEAR	1904	1	4	2	1	1	0	0	0	9
PASSENGER	YEAR	1903	1	10	4	0	0	0	0	0	15
PASSENGER	YEAR	1902	1	4	2	0	0	1	0	0	8
PASSENGER	YEAR	1901	0	6	3	0	0	0	0	0	9
PASSENGER	YEAR	1900	1	19	0	0	2	0	0	0	22
MOTORCYCLE	MOTIVE POWER	G	223260	359266	101730	2978	41294	8725	33	4908	742194
MOTORCYCLE	MOTIVE POWER	OTHER	17	52	21	1	7	4	0	1	103
MOTORCYCLE	BODY TYPE	MB	6	301	120	2	7	8	0	1	445
MOTORCYCLE	BODY TYPE	MD	11859	11727	3628	23	1194	244	0	188	28863
MOTORCYCLE	BODY TYPE	MS	206379	338077	95509	2913	39010	8293	30	4570	694781
MOTORCYCLE	BODY TYPE	MT	3046	8500	2261	40	902	172	3	141	15065
MOTORCYCLE	BODY TYPE	MW	1987	612	176	1	188	12	0	9	2985
MOTORCYCLE	BODY TYPE	OTHER	0	101	57	0	0	0	0	0	158
MOTORCYCLE	YEAR	2021	306	36	1	0	0	0	0	0	343
MOTORCYCLE	YEAR	2020	5114	395	43	0	20	0	0	7	5579
MOTORCYCLE	YEAR	2019	8457	1374	188	0	105	1	0	20	10145
MOTORCYCLE	YEAR	2018	9446	1700	340	0	193	16	0	41	11736
MOTORCYCLE	YEAR	2017	8895	2080	406	2	306	19	0	61	11769
MOTORCYCLE	YEAR	2016	8621	2037	541	4	400	19	0	60	11682
MOTORCYCLE	YEAR	2015	8870	2625	748	5	456	38	0	78	12820
MOTORCYCLE	YEAR	2014	8937	2779	689	17	587	34	0	72	13115
MOTORCYCLE	YEAR	2013	8708	3338	878	9	657	32	0	99	13721
MOTORCYCLE	YEAR	2012	8118	3152	894	4	685	36	1	81	12971
MOTORCYCLE	YEAR	2011	7214	3244	969	9	668	39	2	91	12236
MOTORCYCLE	YEAR	2010	6839	3470	807	2	656	44	0	98	11916
MOTORCYCLE	YEAR	2009	12798	7408	1916	18	1200	118	1	226	23685
MOTORCYCLE	YEAR	2008	13243	8261	2204	28	1247	139	4	265	25391
MOTORCYCLE	YEAR	2007	12799	8360	2137	21	1216	93	0	219	24845
MOTORCYCLE	YEAR	2006	11930	8152	2001	42	1173	113	0	244	23655
MOTORCYCLE	YEAR	2005	10004	7227	1755	41	1080	94	1	214	20416
MOTORCYCLE	YEAR	2004	8693	6513	1613	26	960	86	4	201	18096
MOTORCYCLE	YEAR	2003	9932	8597	2034	30	1178	128	2	229	22130
MOTORCYCLE	YEAR	2002	7309	7530	1713	31	980	99	2	196	17860
MOTORCYCLE	YEAR	2001	6587	7306	1808	38	1161	117	2	191	17210
MOTORCYCLE	YEAR	2000	5896	6969	1857	31	1228	126	2	203	16312
MOTORCYCLE	YEAR	1999	4024	5253	1248	14	995	89	0	132	11755
MOTORCYCLE	YEAR	1998	2772	3965	978	15	1042	72	0	117	8961
MOTORCYCLE	YEAR	1997	2169	3510	816	9	848	50	1	73	7476
MOTORCYCLE	YEAR	1996	1636	3471	763	20	537	91	1	63	6582
MOTORCYCLE	YEAR	1995	1324	2903	643	10	497	41	0	48	5466
MOTORCYCLE	YEAR	1994	1076	3019	747	12	491	71	0	56	5472
MOTORCYCLE	YEAR	1993	1121	3175	746	13	522	46	0	45	5668
MOTORCYCLE	YEAR	1992	868	2589	673	11	482	71	2	46	4742
MOTORCYCLE	YEAR	1991	850	2488	638	6	422	44	0	36	4484
MOTORCYCLE	YEAR	1990	820	3091	767	10	483	81	0	39	5291
MOTORCYCLE	YEAR	1989	742	3575	943	11	531	86	1	59	5948
MOTORCYCLE	YEAR	1988	832	4290	1143	19	592	93	0	57	7026
MOTORCYCLE	YEAR	1987	786	4672	1220	21	627	123	0	65	7514
MOTORCYCLE	YEAR	1986	1370	8964	2202	61	1099	194	0	99	13989
MOTORCYCLE	YEAR	1985	1804	13517	3063	92	1587	333	0	159	20555
MOTORCYCLE	YEAR	1984	1760	17369	4030	186	2061	423	0	193	26022
MOTORCYCLE	YEAR	1983	1506	18855	4713	248	1975	441	2	173	27913
MOTORCYCLE	YEAR	1982	1635	23828	6109	358	2169	699	0	153	34951
MOTORCYCLE	YEAR	1981	1068	17101	4427	235	1471	462	2	96	24862
MOTORCYCLE	YEAR	1980	727	12789	3292	164	1047	386	0	63	18468
MOTORCYCLE	YEAR	1979	724	13547	3717	163	918	451	0	51	19571
MOTORCYCLE	YEAR	1978	707	15657	4464	218	1018	519	0	40	22623
MOTORCYCLE	YEAR	1977	509	11044	3410	151	674	374	2	26	16190
MOTORCYCLE	YEAR	1976	465	8265	2574	96	466	301	0	16	12183
MOTORCYCLE	YEAR	1975	450	10942	3660	117	569	418	1	19	16176
MOTORCYCLE	YEAR	1974	421	9036	3187	116	382	335	0	12	13489
MOTORCYCLE	YEAR	1973	411	7407	2743	81	337	258	0	9	11246
MOTORCYCLE	YEAR	1972	364	7443	2824	65	331	280	0	20	11327
MOTORCYCLE	YEAR	1971	238	3868	1611	43	176	167	0	8	6111
MOTORCYCLE	YEAR	1970	207	2239	1123	17	128	70	0	6	3790
MOTORCYCLE	YEAR	1969	170	1775	1085	10	103	49	0	4	3196
MOTORCYCLE	YEAR	1968	143	1411	908	8	85	49	0	4	2608
MOTORCYCLE	YEAR	1967	123	1116	851	8	82	35	0	2	2217
MOTORCYCLE	YEAR	1966	92	948	742	6	56	18	0	1	1863
MOTORCYCLE	YEAR	1965	64	571	545	1	33	18	0	6	1238
MOTORCYCLE	YEAR	1964	47	290	256	0	18	6	0	3	620
MOTORCYCLE	YEAR	1963	35	195	177	0	19	2	0	2	430
MOTORCYCLE	YEAR	1962	29	159	145	0	12	5	0	1	351
MOTORCYCLE	YEAR	1961	21	139	122	1	13	4	0	1	301
MOTORCYCLE	YEAR	1960	25	152	170	1	7	6	0	2	363
MOTORCYCLE	YEAR	1959	21	148	157	0	21	4	0	1	352
MOTORCYCLE	YEAR	1958	34	137	161	0	15	4	0	0	351
MOTORCYCLE	YEAR	1957	28	170	186	1	13	5	0	3	406
MOTORCYCLE	YEAR	1956	34	177	244	0	17	6	0	1	479
MOTORCYCLE	YEAR	1955	15	111	133	0	10	3	0	1	273
MOTORCYCLE	YEAR	1954	16	89	123	0	7	2	0	0	237
MOTORCYCLE	YEAR	1953	21	102	127	0	12	1	0	0	263
MOTORCYCLE	YEAR	1952	13	116	121	2	13	4	0	0	269
MOTORCYCLE	YEAR	1951	17	91	109	1	10	4	0	0	232
MOTORCYCLE	YEAR	1950	24	111	110	0	14	3	0	0	262
MOTORCYCLE	YEAR	1949	18	74	116	0	9	4	0	0	221
MOTORCYCLE	YEAR	1948	24	134	142	0	12	5	0	0	317
MOTORCYCLE	YEAR	1947	27	111	126	0	13	2	0	0	279
MOTORCYCLE	YEAR	1946	17	77	105	0	4	8	0	0	211
MOTORCYCLE	YEAR	1945	2	8	24	0	2	0	0	0	36
MOTORCYCLE	YEAR	1944	4	6	16	0	0	0	0	0	26
MOTORCYCLE	YEAR	1943	11	47	59	0	4	0	0	0	121
MOTORCYCLE	YEAR	1942	28	134	157	0	30	6	0	1	356
MOTORCYCLE	YEAR	1941	9	27	37	0	1	4	0	0	78
MOTORCYCLE	YEAR	1940	16	67	71	0	10	2	0	0	166
MOTORCYCLE	YEAR	1939	7	43	52	0	4	2	0	0	108
MOTORCYCLE	YEAR	1938	11	29	54	0	2	1	0	0	97
MOTORCYCLE	YEAR	1937	8	26	49	0	2	1	0	0	86
MOTORCYCLE	YEAR	1936	3	10	28	0	3	3	0	0	47
MOTORCYCLE	YEAR	1935	3	12	22	0	2	0	0	0	39
MOTORCYCLE	YEAR	1934	2	4	25	0	1	0	0	0	32
MOTORCYCLE	YEAR	1933	2	4	10	0	0	1	0	0	17
MOTORCYCLE	YEAR	1932	2	1	17	0	1	0	0	0	21
MOTORCYCLE	YEAR	1931	2	8	21	0	1	0	0	0	32
MOTORCYCLE	YEAR	1930	0	9	31	0	0	1	0	0	41
MOTORCYCLE	YEAR	1929	2	10	28	0	1	0	0	0	41
MOTORCYCLE	YEAR	1928	0	4	13	0	0	0	0	0	17
MOTORCYCLE	YEAR	1927	2	1	7	0	2	0	0	0	12
MOTORCYCLE	YEAR	1926	0	5	7	0	0	0	0	0	12
MOTORCYCLE	YEAR	1925	0	2	4	0	0	0	0	0	6
MOTORCYCLE	YEAR	1924	0	3	3	0	0	0	0	0	6
MOTORCYCLE	YEAR	1923	1	0	4	0	0	0	0	1	6
MOTORCYCLE	YEAR	1922	0	2	3	0	0	0	0	0	5
MOTORCYCLE	YEAR	1920	0	2	4	0	1	0	0	0	7
MOTORCYCLE	YEAR	1919	0	0	3	0	0	0	0	0	3
MOTORCYCLE	YEAR	1918	0	1	4	0	0	1	0	0	6
MOTORCYCLE	YEAR	1917	0	1	3	0	0	0	0	0	4
MOTORCYCLE	YEAR	1916	0	0	5	0	1	0	0	0	6
MOTORCYCLE	YEAR	1915	1	1	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1914	0	0	5	0	0	0	0	0	5
MOTORCYCLE	YEAR	1913	0	2	2	0	1	0	0	0	5
MOTORCYCLE	YEAR	1912	0	2	1	0	0	0	0	0	3
MOTORCYCLE	YEAR	1911	0	0	1	0	0	0	0	0	1
MOTORCYCLE	YEAR	1909	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1908	0	2	2	0	0	0	0	0	4
MOTORCYCLE	YEAR	1905	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1904	0	1	0	0	0	0	0	0	1
MOTORCYCLE	YEAR	1903	0	2	0	0	0	0	0	0	2
MOTORCYCLE	YEAR	1900	1	11	0	0	1	0	0	0	13
MOPED	MOTIVE POWER	G	413	19356	775	83	463	541	1	16	21648
MOPED	MOTIVE POWER	OTHER	0	18	1	0	0	1	0	0	20
MOPED	YEAR	2019	2	1	0	0	0	0	0	0	3
MOPED	YEAR	2018	3	0	2	0	0	0	0	0	5
MOPED	YEAR	2017	1	0	0	0	1	0	0	0	2
MOPED	YEAR	2016	5	1	1	0	4	1	0	0	12
MOPED	YEAR	2015	1	3	0	0	1	0	0	0	5
MOPED	YEAR	2014	2	2	1	0	1	0	0	0	6
MOPED	YEAR	2013	8	12	4	0	4	0	0	0	28
MOPED	YEAR	2012	1	3	3	0	0	1	0	0	8
MOPED	YEAR	2011	1	8	0	0	0	0	0	0	9
MOPED	YEAR	2010	5	25	5	0	2	0	0	0	37
MOPED	YEAR	2009	5	35	3	0	4	0	0	1	48
MOPED	YEAR	2008	2	27	1	0	4	1	0	2	37
MOPED	YEAR	2007	3	24	4	0	4	0	0	1	36
MOPED	YEAR	2006	24	140	10	0	13	0	0	1	188
MOPED	YEAR	2005	52	541	19	0	28	7	0	0	647
MOPED	YEAR	2004	13	149	8	0	9	6	0	1	186
MOPED	YEAR	2003	9	76	3	0	8	1	0	1	98
MOPED	YEAR	2002	14	158	8	0	6	2	0	1	189
MOPED	YEAR	2001	41	596	26	0	13	12	0	3	691
MOPED	YEAR	2000	10	206	10	0	9	4	0	0	239
MOPED	YEAR	1999	7	104	9	0	12	2	0	0	134
MOPED	YEAR	1998	0	14	1	0	4	0	0	0	19
MOPED	YEAR	1997	1	19	0	0	3	0	0	0	23
MOPED	YEAR	1996	2	11	0	0	3	0	0	0	16
MOPED	YEAR	1995	1	9	0	3	0	0	0	0	13
MOPED	YEAR	1994	0	30	0	0	1	0	0	0	31
MOPED	YEAR	1993	0	19	1	0	0	2	0	0	22
MOPED	YEAR	1992	0	19	1	0	0	1	0	0	21
MOPED	YEAR	1991	0	33	2	0	1	0	0	0	36
MOPED	YEAR	1990	2	45	1	0	4	0	0	0	52
MOPED	YEAR	1989	2	44	1	0	3	1	0	0	51
MOPED	YEAR	1988	1	32	4	0	1	0	0	0	38
MOPED	YEAR	1987	0	227	5	1	1	2	0	0	236
MOPED	YEAR	1986	5	182	14	0	9	6	0	0	216
MOPED	YEAR	1985	5	280	18	1	13	2	0	1	320
MOPED	YEAR	1984	3	190	21	1	11	3	0	1	230
MOPED	YEAR	1983	7	547	27	2	20	8	0	0	611
MOPED	YEAR	1982	14	763	33	0	23	16	0	0	849
MOPED	YEAR	1981	11	924	39	10	24	28	0	0	1036
MOPED	YEAR	1980	9	754	27	2	19	14	0	0	825
MOPED	YEAR	1979	14	823	34	2	27	21	0	0	921
MOPED	YEAR	1978	10	783	26	3	20	18	0	1	861
MOPED	YEAR	1977	12	1131	39	6	15	34	0	0	1237
MOPED	YEAR	1976	7	2028	70	10	29	76	0	0	2220
MOPED	YEAR	1975	54	6092	195	34	83	209	1	2	6670
MOPED	YEAR	1974	14	704	14	4	12	22	0	0	770
MOPED	YEAR	1973	4	225	6	0	2	10	0	0	247
MOPED	YEAR	1972	2	218	11	1	5	7	0	0	244
MOPED	YEAR	1971	4	287	14	0	2	9	0	0	316
MOPED	YEAR	1970	10	333	17	2	1	10	0	0	373
MOPED	YEAR	1969	3	87	2	0	1	0	0	0	93
MOPED	YEAR	1968	1	67	4	0	0	1	0	0	73
MOPED	YEAR	1967	1	26	1	0	0	0	0	0	28
MOPED	YEAR	1966	0	75	5	0	1	4	0	0	85
MOPED	YEAR	1965	2	51	5	1	0	0	0	0	59
MOPED	YEAR	1964	0	13	5	0	1	0	0	0	19
MOPED	YEAR	1963	0	26	0	0	0	0	0	0	26
MOPED	YEAR	1962	0	15	2	0	0	0	0	0	17
MOPED	YEAR	1961	0	12	2	0	0	0	0	0	14
MOPED	YEAR	1960	0	23	2	0	0	0	0	0	25
MOPED	YEAR	1959	0	12	1	0	0	0	0	0	13
MOPED	YEAR	1958	0	10	2	0	0	0	0	0	12
MOPED	YEAR	1957	0	6	2	0	0	0	0	0	8
MOPED	YEAR	1956	1	3	0	0	0	0	0	0	4
MOPED	YEAR	1955	0	9	1	0	0	0	0	0	10
MOPED	YEAR	1954	0	3	0	0	0	0	0	0	3
MOPED	YEAR	1953	0	6	0	0	0	0	0	0	6
MOPED	YEAR	1952	1	3	0	0	0	0	0	0	4
MOPED	YEAR	1951	0	4	0	0	0	0	0	0	4
MOPED	YEAR	1950	0	4	1	0	0	0	0	0	5
MOPED	YEAR	1949	0	1	1	0	0	0	0	0	2
MOPED	YEAR	1948	0	6	0	0	0	0	0	0	6
MOPED	YEAR	1947	0	8	1	0	0	0	0	0	9
MOPED	YEAR	1946	1	5	1	0	0	0	0	0	7
MOPED	YEAR	1943	0	0	0	0	0	1	0	0	1
MOPED	YEAR	1939	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1938	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1937	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1935	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1926	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1911	0	1	0	0	0	0	0	0	1
MOPED	YEAR	1900	0	16	0	0	1	0	0	0	17
COMMERCIAL	AXLES	1	3931	22205	3550	4914	3669	785	0	265	39319
COMMERCIAL	AXLES	2	1493178	2301191	261277	528363	288164	78220	218	44323	4994934
COMMERCIAL	AXLES	3	105565	282037	66321	14269	40849	6991	31	2832	518895
COMMERCIAL	AXLES	4	21967	9643	2318	209	1209	184	5	552	36087
COMMERCIAL	AXLES	5	354	649	58	8	76	2	0	18	1165
COMMERCIAL	AXLES	OTHER	150	596	50	25	50	6	1	9	887
COMMERCIAL	MOTIVE POWER	D	349779	474327	97494	29569	79433	11579	194	10926	1053301
COMMERCIAL	MOTIVE POWER	E	11	84	16	2	4	4	0	1	122
COMMERCIAL	MOTIVE POWER	F	221954	114070	9313	4115	17316	3909	5	1322	372004
COMMERCIAL	MOTIVE POWER	G	1051261	2018936	225771	511615	236604	70455	56	35708	4150406
COMMERCIAL	MOTIVE POWER	L	660	266	33	34	61	18	0	5	1077
