WEIGHT_CLASS	KG_FROM	KG_TO	FIT-ACTIVE	FIT-INACTIVE	UNFIT	WRECKED	OUT-OF-PROV	SOLD	SUSPENDED	TEMPORARY	TOTAL
ROAD BUILDING MACHINERY	9001	10000	0	16	1	0	0	0	0	0	17
ROAD BUILDING MACHINERY	10001	11000	0	9	1	0	0	0	0	0	10
ROAD BUILDING MACHINERY	11001	12000	0	20	1	0	0	0	0	1	22
ROAD BUILDING MACHINERY	12001	13000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	13001	14000	0	37	1	0	0	0	0	0	38
ROAD BUILDING MACHINERY	14001	15000	0	23	0	0	0	0	0	0	23
ROAD BUILDING MACHINERY	15001	16000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	16001	17000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	17001	18000	0	14	1	0	0	0	0	0	15
ROAD BUILDING MACHINERY	18001	19000	0	24	1	0	0	0	0	0	25
ROAD BUILDING MACHINERY	19001	20000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	20001	21000	0	13	0	0	0	0	0	0	13
ROAD BUILDING MACHINERY	21001	22000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	22001	23000	0	38	2	0	0	0	0	0	40
ROAD BUILDING MACHINERY	23001	24000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	24001	25000	0	30	0	0	0	0	0	0	30
ROAD BUILDING MACHINERY	25001	26000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	26001	27000	0	11	0	0	0	0	0	2	13
ROAD BUILDING MACHINERY	27001	28000	0	31	0	0	0	0	0	0	31
ROAD BUILDING MACHINERY	28001	29000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	29001	30000	0	38	0	0	0	0	0	0	38
ROAD BUILDING MACHINERY	30001	31000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	31001	32000	0	17	0	0	0	0	0	1	18
ROAD BUILDING MACHINERY	32001	33000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	33001	34000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	34001	35000	0	17	0	0	0	0	0	0	17
ROAD BUILDING MACHINERY	35001	36000	0	12	1	0	0	0	0	0	13
ROAD BUILDING MACHINERY	36001	37000	0	34	1	0	0	0	0	0	35
ROAD BUILDING MACHINERY	37001	38000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	38001	39000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	39001	40000	0	28	1	0	0	0	0	0	29
ROAD BUILDING MACHINERY	40001	41000	0	20	1	0	0	0	0	0	21
ROAD BUILDING MACHINERY	41001	42000	0	16	1	0	0	0	0	1	18
ROAD BUILDING MACHINERY	42001	43000	0	11	0	0	0	0	0	0	11
ROAD BUILDING MACHINERY	43001	44000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	44001	45000	0	19	0	0	0	0	0	0	19
ROAD BUILDING MACHINERY	45001	46000	0	69	0	0	0	0	0	0	69
ROAD BUILDING MACHINERY	46001	47000	0	4	0	0	0	0	0	1	5
ROAD BUILDING MACHINERY	47001	48000	0	5	0	0	0	0	0	0	5
ROAD BUILDING MACHINERY	48001	49000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	49001	50000	0	21	0	0	0	0	0	0	21
ROAD BUILDING MACHINERY	50001	51000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	51001	52000	0	8	0	0	0	0	0	1	9
ROAD BUILDING MACHINERY	52001	53000	0	15	0	0	0	0	0	0	15
ROAD BUILDING MACHINERY	53001	54000	0	16	0	0	0	0	0	0	16
ROAD BUILDING MACHINERY	54001	55000	0	25	0	0	0	0	0	0	25
ROAD BUILDING MACHINERY	55001	56000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	56001	57000	0	6	0	0	0	0	0	0	6
ROAD BUILDING MACHINERY	57001	58000	0	8	0	0	0	0	0	0	8
ROAD BUILDING MACHINERY	58001	59000	0	4	0	0	0	0	0	0	4
ROAD BUILDING MACHINERY	59001	60000	0	14	0	0	0	0	0	0	14
ROAD BUILDING MACHINERY	60001	61000	0	1	0	0	0	0	0	0	1
ROAD BUILDING MACHINERY	61001	62000	0	2	0	0	0	0	0	0	2
ROAD BUILDING MACHINERY	62001	63000	0	7	0	0	0	0	0	0	7
ROAD BUILDING MACHINERY	63001	63500	0	21	0	0	0	0	0	0	21
PERMANENT APPARATUS	3001	3500	7	161	1	0	0	0	0	2	171
PERMANENT APPARATUS	3501	4000	1	121	2	0	0	0	0	2	126
PERMANENT APPARATUS	4001	4500	55	156	0	0	0	0	0	0	211
PERMANENT APPARATUS	4501	5000	11	193	5	0	0	0	0	3	212
PERMANENT APPARATUS	5001	6000	65	191	2	0	0	0	0	3	261
PERMANENT APPARATUS	6001	7000	31	208	4	0	0	0	0	1	244
PERMANENT APPARATUS	7001	8000	32	231	4	0	0	0	0	3	270
PERMANENT APPARATUS	8001	9000	98	230	1	0	0	0	0	2	331
PERMANENT APPARATUS	9001	10000	59	300	1	0	0	0	0	5	365
PERMANENT APPARATUS	10001	11000	96	313	2	0	0	0	0	10	421
PERMANENT APPARATUS	11001	12000	41	142	0	0	0	0	0	4	187
PERMANENT APPARATUS	12001	13000	47	162	1	0	0	0	0	4	214
PERMANENT APPARATUS	13001	14000	33	145	3	0	0	0	0	4	185
PERMANENT APPARATUS	14001	15000	106	177	2	0	0	0	0	5	290
PERMANENT APPARATUS	15001	16000	67	94	1	0	0	0	0	0	162
PERMANENT APPARATUS	16001	17000	58	68	0	0	0	0	0	1	127
PERMANENT APPARATUS	17001	18000	99	66	0	0	0	0	0	2	167
PERMANENT APPARATUS	19001	20000	66	92	0	0	0	0	0	2	160
PERMANENT APPARATUS	21001	22000	42	87	1	0	0	0	0	2	132
PERMANENT APPARATUS	24001	25000	78	77	0	0	0	0	0	1	156
PERMANENT APPARATUS	25001	26000	77	51	0	0	0	0	0	0	128
PERMANENT APPARATUS	26001	27000	125	49	0	0	0	0	0	0	174
PERMANENT APPARATUS	27001	28000	214	70	2	0	0	0	0	2	288
PERMANENT APPARATUS	29001	30000	129	71	2	0	0	0	0	0	202
FARM TRUCK	0000	3000	0	1689	153	2	0	0	0	0	1844
FARM TRUCK	3001	3500	22052	37975	33	0	0	0	1	460	60521
FARM TRUCK	3501	4000	1925	3273	24	0	0	0	0	19	5241
FARM TRUCK	4001	4500	8183	6540	13	0	0	0	0	84	14820
FARM TRUCK	4501	5000	274	1425	12	0	0	0	0	17	1728
FARM TRUCK	5001	6000	384	1578	15	0	0	0	0	12	1989
FARM TRUCK	6001	7000	342	1425	12	0	0	0	0	25	1804
FARM TRUCK	7001	8000	354	1395	8	0	0	0	0	19	1776
FARM TRUCK	8001	9000	324	1249	9	0	0	0	0	19	1601
FARM TRUCK	9001	10000	579	2138	14	0	0	0	0	42	2773
FARM TRUCK	10001	11000	823	1597	12	0	0	0	0	39	2471
FARM TRUCK	11001	12000	234	1170	4	0	0	0	0	21	1429
FARM TRUCK	12001	13000	146	1170	7	0	0	0	0	10	1333
FARM TRUCK	13001	14000	175	1525	13	0	0	0	0	12	1725
FARM TRUCK	14001	15000	406	2409	8	0	0	0	0	30	2853
FARM TRUCK	15001	16000	219	798	5	0	0	0	0	17	1039
FARM TRUCK	16001	17000	96	356	0	0	0	0	0	6	458
FARM TRUCK	17001	18000	117	331	0	0	0	0	0	8	456
FARM TRUCK	18001	19000	50	202	1	0	0	0	0	2	255
FARM TRUCK	19001	20000	186	480	0	0	0	0	0	13	679
FARM TRUCK	20001	21000	28	241	3	0	0	0	0	0	272
FARM TRUCK	21001	22000	53	478	5	0	0	0	0	5	541
FARM TRUCK	22001	23000	80	416	3	0	0	0	0	8	507
FARM TRUCK	23001	24000	178	329	0	0	0	0	0	1	508
FARM TRUCK	24001	25000	319	512	1	0	0	0	0	15	847
FARM TRUCK	25001	26000	133	233	1	0	0	0	0	6	373
FARM TRUCK	26001	27000	180	214	1	0	0	0	0	6	401
FARM TRUCK	27001	28000	169	255	0	0	0	0	0	4	428
FARM TRUCK	28001	29000	59	77	0	0	0	0	0	2	138
FARM TRUCK	29001	30000	301	420	2	0	0	0	0	9	732
FARM TRUCK	30001	31000	24	49	0	0	0	0	0	1	74
FARM TRUCK	31001	32000	83	123	1	0	0	0	0	2	209
FARM TRUCK	32001	33000	36	53	0	0	0	0	0	2	91
FARM TRUCK	33001	34000	56	57	0	0	0	0	0	3	116
FARM TRUCK	34001	35000	126	145	0	0	0	1	0	7	279
FARM TRUCK	35001	36000	100	100	1	0	0	0	0	3	204
FARM TRUCK	36001	37000	127	203	1	0	0	0	0	2	333
FARM TRUCK	37001	38000	81	79	1	0	0	0	0	1	162
FARM TRUCK	38001	39000	45	61	1	0	0	0	0	0	107
FARM TRUCK	39001	40000	237	222	2	0	0	0	0	9	470
FARM TRUCK	40001	41000	29	79	2	0	0	0	0	3	113
FARM TRUCK	41001	42000	64	68	1	0	0	0	0	0	133
FARM TRUCK	42001	43000	45	32	0	0	0	0	0	1	78
FARM TRUCK	43001	44000	52	61	1	0	0	0	0	0	114
FARM TRUCK	44001	45000	193	112	0	0	0	0	0	5	310
FARM TRUCK	45001	46000	44	39	0	0	0	0	0	0	83
FARM TRUCK	46001	47000	23	10	1	0	0	0	0	0	34
FARM TRUCK	47001	48000	48	44	0	0	0	0	0	0	92
FARM TRUCK	48001	49000	26	17	0	0	0	0	0	0	43
FARM TRUCK	49001	50000	267	162	0	0	0	0	0	2	431
FARM TRUCK	50001	51000	13	12	0	0	0	0	0	0	25
FARM TRUCK	51001	52000	85	84	0	0	0	0	0	1	170
FARM TRUCK	52001	53000	78	66	1	0	0	0	0	0	145
FARM TRUCK	53001	54000	84	41	0	0	0	0	0	2	127
FARM TRUCK	54001	55000	168	107	0	0	0	0	0	3	278
FARM TRUCK	55001	56000	50	35	0	0	0	0	0	0	85
FARM TRUCK	56001	57000	33	10	0	0	0	0	0	0	43
FARM TRUCK	57001	58000	107	45	0	0	0	0	0	0	152
FARM TRUCK	58001	59000	43	17	0	0	0	0	0	1	61
FARM TRUCK	59001	60000	258	141	1	0	0	0	0	1	401
FARM TRUCK	60001	61000	17	7	1	0	0	0	0	0	25
FARM TRUCK	61001	62000	65	31	0	0	0	0	0	0	96
FARM TRUCK	62001	63000	122	66	0	0	0	0	0	1	189
FARM TRUCK	63001	63500	1662	426	0	0	0	0	0	14	2102
BUS	0001	2500	6	132	30	0	0	0	0	1	169
BUS	2501	3000	183	556	14	0	0	0	0	7	760
BUS	3001	3500	707	937	3	1	0	0	0	38	1686
BUS	3501	4000	855	1007	15	1	0	0	0	26	1904
BUS	4001	4500	768	589	0	0	0	0	0	19	1376
BUS	4501	5000	480	487	8	0	0	0	0	18	993
BUS	5001	6000	1605	628	3	0	0	0	0	54	2290
BUS	6001	7000	913	481	7	0	0	0	0	19	1420
BUS	7001	8000	153	590	11	0	0	0	0	10	764
BUS	8001	9000	222	1052	23	0	0	0	0	61	1358
BUS	9001	10000	1389	1610	17	1	0	0	0	83	3100
BUS	10001	11000	1576	949	5	0	0	0	0	29	2559
BUS	11001	12000	2359	1102	29	0	0	0	0	34	3524
BUS	12001	13000	910	550	3	0	0	0	0	9	1472
BUS	13001	14000	225	316	1	0	0	0	0	5	547
BUS	14001	15000	769	218	1	0	0	0	0	6	994
BUS	15001	16000	1248	593	0	0	0	0	0	8	1849
BUS	16001	17000	149	320	0	0	0	0	0	6	475
BUS	17001	18000	732	104	0	0	0	0	0	1	837
BUS	18001	19000	1416	111	1	0	0	0	0	3	1531
BUS	19001	20000	1301	136	1	0	0	0	0	28	1466
BUS	20001	21000	315	88	0	0	0	0	0	10	413
BUS	21001	22000	143	74	0	0	0	0	0	1	218
BUS	22001	23000	337	28	0	0	0	0	0	1	366
BUS	23001	24000	421	121	0	0	0	0	0	0	542
BUS	24001	25000	147	28	0	0	0	0	0	0	175
BUS	25001	26000	251	13	0	0	0	0	0	0	264
BUS	26001	27000	232	68	0	0	0	0	0	0	300
BUS	27001	28000	108	52	0	0	0	0	0	2	162
BUS	28001	29000	10	8	0	0	0	0	0	0	18
BUS	29001	30000	3	29	0	0	0	0	0	1	33
BUS	30001	31000	122	8	1	0	0	0	0	0	131
BUS	31001	32000	79	0	0	0	0	0	0	0	79
BUS	32001	33000	1	0	0	0	0	0	0	0	1
BUS	33001	34000	4	1	0	0	0	0	0	0	5
BUS	34001	35000	0	3	0	0	0	0	0	0	3
BUS	35001	36000	0	1	0	0	0	0	0	0	1
BUS	36001	37000	0	1	0	0	0	0	0	0	1
BUS	39001	40000	3	4	0	0	0	0	0	1	8
BUS	40001	99999	2	5	1	0	0	0	0	0	8
SCHOOL BUS	0001	2500	2	43	3	0	0	0	0	0	48
SCHOOL BUS	2501	3000	291	188	5	0	0	0	0	21	505
SCHOOL BUS	3001	3500	619	247	0	0	0	0	0	2	868
SCHOOL BUS	3501	4000	672	403	21	0	0	0	0	1	1097
SCHOOL BUS	4001	4500	1019	219	0	0	0	0	0	1	1239
SCHOOL BUS	4501	5000	918	160	0	0	0	0	0	0	1078
SCHOOL BUS	5001	6000	803	113	0	0	0	0	0	1	917
SCHOOL BUS	6001	7000	235	186	4	0	0	0	0	1	426
SCHOOL BUS	7001	8000	102	539	31	0	0	0	0	3	675
SCHOOL BUS	8001	9000	675	959	40	1	0	0	0	14	1689
SCHOOL BUS	9001	10000	1886	1408	14	0	0	0	0	10	3318
SCHOOL BUS	10001	11000	1976	721	1	0	0	0	0	2	2700
SCHOOL BUS	11001	12000	2042	233	0	0	0	0	0	4	2279
SCHOOL BUS	12001	13000	235	53	0	0	0	0	0	0	288
SCHOOL BUS	13001	14000	644	32	0	0	0	0	0	1	677
SCHOOL BUS	14001	15000	91	8	0	0	0	0	0	0	99
SCHOOL BUS	15001	16000	6	8	0	0	0	0	0	0	14
SCHOOL BUS	16001	17000	30	4	0	0	0	0	0	0	34
SCHOOL BUS	17001	18000	22	3	0	0	0	0	0	0	25
SCHOOL BUS	18001	19000	15	0	0	0	0	0	0	0	15
SCHOOL BUS	19001	20000	0	1	0	0	0	0	0	0	1
SCHOOL BUS	20001	99999	0	5	1	0	0	0	0	0	6
